valor,area,dist_playa,dist_mercado,piscina
4600.0,280,0.241,0.794,1
900.0,208,0.904,0.134,1
2550.0,170,0.06,0.423,1
550.0,100,2.883,0.525,0
2200.0,164,0.24,0.192,0
1449.99,143,5.12,0.043,0
464.0,107,7.847,0.158,0
1050.0,87,0.19,0.555,1
1580.0,155,2.242,0.001,1
4200.0,348,0.105,0.855,1
1300.0,70,0.336,0.62,0
1200.0,156,0.151,0.914,1
460.0,73,4.321,0.626,1
435.0,51,1.699,0.955,0
3450.0,173,0.042,0.826,0
390.0,68,1.175,0.332,0
1150.0,80,0.0,0.54,1
1189.0,82,0.764,0.229,1
560.0,85,6.393,0.116,0
850.0,90,1.007,0.849,1
440.0,79,7.717,0.642,0
375.0,41,3.251,0.528,0
490.0,57,1.889,0.51,0
230.0,55,5.652,0.371,0
160.0,55,8.074,0.038,0
4100.0,173,2.196,0.714,1
4500.0,200,0.341,0.229,0
740.0,96,1.234,0.721,0
360.0,38,0.953,0.762,0
370.0,79,6.863,0.188,0
450.0,76,7.908,0.808,0
530.0,78,1.028,0.133,0
1100.0,73,2.467,0.869,0
410.0,65,6.795,0.742,1
680.0,67,6.597,0.102,1
580.0,89,0.949,0.177,1
2500.0,350,0.426,0.075,1
250.0,58,6.167,0.758,0
250.0,53,4.672,0.239,0
4250.0,487,2.314,0.43,1
233.0,36,5.459,0.697,0
562.0,110,6.86,0.837,0
2300.0,143,2.551,0.091,0
225.0,68,7.7,0.047,1
1050.0,105,1.148,0.297,1
260.0,55,7.613,0.094,0
2350.0,242,0.452,0.959,1
180.0,51,4.171,0.417,0
5800.0,180,0.055,0.728,1
4500.0,333,0.11,0.682,0
270.0,52,7.19,0.854,1
1150.0,70,0.054,0.987,1
650.0,91,4.452,0.428,1
290.0,52,10.314,0.931,1
2500.0,140,0.593,0.662,1
2000.0,140,0.091,0.729,1
740.0,140,1.554,0.503,0
750.0,54,0.386,0.536,0
440.0,69,5.654,0.861,0
495.0,91,7.854,0.444,0
995.8,68,5.24,0.039,1
1699.0,110,1.369,0.103,1
435.0,35,0.606,0.189,1
535.0,82,3.335,0.621,0
900.0,140,1.362,0.536,1
435.0,41,0.081,0.526,0
308.0,53,0.971,0.618,0
679.99,115,9.583,0.977,1
1170.0,232,1.441,0.828,0
340.0,66,7.518,0.908,1
3200.0,276,0.363,0.459,1
360.0,70,8.05,0.909,0
2900.0,260,1.581,0.26,0
1450.0,60,0.584,0.904,1
650.0,80,0.416,0.241,0
690.0,80,0.948,0.981,0
440.0,65,4.701,0.923,0
16500.0,300,0.0,0.516,0
472.52,71,1.722,0.368,0
950.0,86,1.187,0.261,0
395.0,75,6.773,0.336,1
1980.0,171,0.278,0.832,1
536.0,87,0.872,0.972,0
750.0,110,6.082,0.736,0
823.6,114,8.836,0.485,1
2500.0,160,0.105,0.166,1
4000.0,244,0.05,0.288,1
199.0,20,2.533,0.449,0
300.0,75,4.46,0.539,1
3700.0,307,3.295,0.401,1
299.0,54,6.049,0.897,0
328.0,56,5.851,0.781,0
1500.0,95,0.341,0.046,1
950.0,177,7.596,0.026,1
640.0,75,5.59,0.344,0
805.0,84,5.825,0.253,0
225.0,60,7.556,0.069,0
630.0,96,5.164,0.233,0
1200.0,156,5.164,0.541,0
430.0,65,4.763,0.181,0
5500.0,340,0.102,0.177,0
1950.0,209,5.437,0.343,1
275.0,56,8.133,0.424,0
950.0,131,0.475,0.268,1
1050.0,100,0.035,0.032,1
650.0,90,6.115,0.99,0
1350.0,120,0.128,0.218,1
3160.0,135,0.013,0.503,1
230.0,60,8.195,0.047,0
1300.0,100,6.118,0.163,0
2200.0,233,0.848,0.52,1
975.0,110,1.559,0.165,0
1130.0,182,8.148,0.109,1
1100.0,80,0.973,0.296,1
895.0,115,2.743,0.398,1
650.0,94,1.141,0.139,1
320.0,51,9.076,0.229,1
378.0,80,7.842,0.649,0
499.0,70,0.677,0.04,1
3600.0,262,0.681,0.087,1
3995.0,296,3.295,0.427,1
1100.0,76,0.256,0.372,1
1680.0,200,0.444,0.671,1
230.0,55,7.188,0.392,0
650.0,95,1.554,0.892,0
2200.0,200,0.366,0.597,1
