valor,area_primer_piso,existe_segundo_piso,area_patio,dist_metro,dist_parque
193055.55555555553,79.52,1,23.86,1.639,3.039
168055.55555555553,117.24,0,35.17,1.538,10.91
206944.44444444444,85.47,1,25.64,1.275,11.791
129629.62962962962,89.28,1,21.07,1.223,10.877
231481.48148148146,106.37,1,31.91,0.868,11.247
132407.4074074074,73.95,1,22.19,4.353,7.069
284259.2592592592,157.38,0,46.99,0.946,12.2
185185.18518518517,102.84,1,30.85,1.087,1.533
120277.77777777777,94.95,1,26.53,1.422,12.24
109259.25925925926,100.06,0,27.62,3.06,13.368
119907.4074074074,96.62,0,28.99,3.437,1.67
319444.44444444444,109.81,1,32.75,0.352,14.061
133333.3333333333,84.73,0,25.42,3.053,14.259
258796.2962962963,138.8,0,41.64,1.199,5.695
145370.37037037036,116.41,0,34.92,2.475,5.332
122222.22222222222,79.34,0,23.19,1.545,11.752
137962.96296296295,93.27,0,27.98,1.831,3.854
83333.33333333333,120.4,0,0.0,6.768,3.498
147222.22222222222,103.49,0,31.05,4.619,0.119
128703.7037037037,124.4,0,28.68,3.013,5.858
301203.7037037037,107.58,1,32.27,0.903,9.769
129074.07407407406,102.94,0,17.75,1.698,14.486
212962.96296296295,166.76,0,49.53,0.67,3.952
120277.77777777777,98.48,0,28.99,3.311,14.385
142592.59259259258,98.48,0,29.54,4.914,8.776
237314.8148148148,148.64,0,43.65,0.668,13.616
124814.8148148148,83.61,0,25.08,3.185,12.452
283333.3333333333,158.31,0,47.49,0.548,3.246
192129.6296296296,148.64,0,41.36,4.695,10.08
63425.92592592592,48.31,0,14.49,6.811,10.248
37037.03703703704,60.29,1,18.09,7.421,10.011
138287.03703703702,114.08,0,34.23,4.459,6.537
166574.07407407407,114.64,0,34.39,0.768,11.829
153240.74074074073,157.94,0,38.96,4.946,8.926
256944.44444444444,145.02,0,43.51,0.314,3.697
286111.11111111107,105.17,1,31.13,0.776,12.776
134259.25925925924,101.91,0,30.57,4.659,13.793
141666.66666666666,120.5,0,36.15,4.237,4.321
100925.92592592591,98.2,0,29.46,4.723,7.275
75925.92592592593,107.02,0,0.0,6.732,9.929
148148.14814814815,123.0,0,30.32,2.557,13.633
157407.4074074074,123.38,0,37.63,3.092,2.773
133333.3333333333,82.13,0,23.41,3.456,8.755
120601.85185185184,87.14,0,26.14,3.579,14.559
130555.55555555555,106.84,0,32.05,3.16,9.527
296203.7037037037,162.77,0,48.83,0.27,11.042
221931.48148148146,141.03,1,39.97,1.101,11.849
231203.70370370368,153.85,0,46.15,0.639,8.1
104629.62962962962,68.38,1,20.51,6.907,5.058
117592.59259259258,88.72,0,26.62,3.73,9.265
163888.88888888888,73.76,1,22.13,2.055,8.395
106018.51851851851,75.81,0,22.74,1.814,5.806
101851.85185185184,75.81,0,22.74,3.534,4.708
356481.48148148146,171.13,0,51.34,0.481,6.082
120370.37037037036,126.35,0,10.7,4.296,7.77
167129.6296296296,132.39,0,39.72,2.414,11.661
159722.22222222222,91.32,1,27.03,0.586,12.393
181944.44444444444,79.9,1,23.97,1.729,13.466
406277.77777777775,132.48,1,39.3,0.116,10.121
115648.14814814815,72.46,0,21.74,3.759,4.535
146296.2962962963,107.58,0,32.27,2.984,0.185
93518.51851851851,53.98,1,14.77,4.28,13.73
187500.0,127.28,0,38.18,0.778,11.006
129629.62962962962,83.8,1,16.05,1.685,2.65
203240.74074074073,98.2,1,29.46,1.843,8.19
293518.5185185185,106.19,1,31.86,0.888,7.909
166666.66666666666,205.04,0,54.26,1.229,0.791
209259.25925925924,137.4,0,40.5,1.032,3.061
74074.07407407407,69.4,0,20.82,5.946,14.028
208333.3333333333,121.15,1,36.34,1.268,13.059
225925.9259259259,206.52,0,61.96,1.211,3.306
119907.4074074074,78.5,0,23.55,7.829,11.554
171296.2962962963,82.22,1,23.19,1.876,10.887
134166.66666666666,100.89,0,30.27,3.629,2.694
99444.44444444444,78.04,1,23.41,9.311,1.71
84259.25925925926,48.87,1,12.88,6.187,9.335
125694.44444444444,88.44,0,26.53,7.744,4.068
117592.59259259258,99.59,1,18.73,3.918,5.338
126388.88888888888,164.25,0,49.28,5.795,9.696
101851.85185185184,63.36,1,12.26,3.493,10.112
179166.66666666666,109.81,1,24.97,2.342,11.482
142129.6296296296,124.21,0,34.48,1.894,8.955
226851.85185185182,145.21,0,43.56,0.792,5.672
117129.62962962962,98.94,0,29.68,4.796,1.175
156018.5185185185,74.69,1,10.7,1.399,2.596
240740.74074074073,120.87,1,35.9,0.61,3.7
161111.1111111111,63.55,1,19.06,2.996,8.354
152314.8148148148,56.86,1,17.06,2.264,11.081
78703.7037037037,94.11,0,28.23,8.182,10.418
114444.44444444444,91.97,0,27.59,5.141,6.458
101759.25925925926,96.62,0,0.0,5.329,14.11
91296.29629629629,114.74,0,34.42,4.255,6.609
151388.88888888888,89.56,0,24.41,4.584,10.985
123981.48148148147,117.06,1,33.84,2.133,9.659
189583.3333333333,84.08,1,22.97,1.595,10.236
171296.2962962963,63.17,1,18.95,2.072,7.674
198148.14814814815,147.53,0,44.26,1.996,8.631
87731.48148148147,89.19,0,26.76,6.587,10.812
76851.85185185185,77.57,0,12.76,4.942,3.256
119398.14814814815,113.81,0,26.48,7.582,12.183
189814.8148148148,149.57,0,44.87,1.517,13.22
164814.8148148148,90.77,1,20.65,2.581,1.659
110151.85185185184,142.61,0,0.0,4.363,3.774
184166.66666666666,113.9,0,34.17,1.537,4.483
156944.44444444444,113.9,1,28.99,1.267,2.321
231481.48148148146,97.83,1,29.35,0.82,2.96
92592.59259259258,97.27,0,17.87,5.335,9.98
106481.48148148147,73.3,0,21.99,3.87,2.722
106481.48148148147,92.62,1,22.1,3.907,12.2
175925.92592592593,171.31,0,51.39,2.931,14.242
126759.25925925926,112.97,1,27.7,2.814,6.628
166666.66666666666,71.91,1,10.7,1.263,8.567
355527.77777777775,119.1,1,35.23,1.501,7.638
200925.92592592593,209.87,0,50.42,1.768,5.811
240277.77777777775,133.41,1,28.65,2.869,7.359
162962.96296296295,67.73,1,20.32,2.806,3.719
128703.7037037037,101.45,0,30.44,3.597,9.116
143518.5185185185,104.52,0,31.35,4.278,4.517
296296.2962962963,157.84,1,46.63,1.609,3.035
151842.59259259258,67.63,1,20.29,1.729,3.922
